1, 0.0, 74, 54, 53, 91
2, 0.001, 77, 57, 55, 98
3, 0.002, 77, 56, 55, 96
4, 0.003, 77, 56, 55, 96
5, 0.004, 76, 56, 55, 96
6, 0.005, 77, 56, 55, 96
7, 0.006, 75, 55, 54, 94
8, 0.007, 86, 64, 62, 112
9, 0.008, 85, 63, 61, 111
10, 0.009, 85, 63, 61, 111
11, 0.01, 85, 63, 61, 111
12, 0.011, 85, 63, 61, 111
13, 0.012, 85, 63, 61, 111
14, 0.013, 85, 63, 61, 110
15, 0.014, 85, 63, 61, 110
16, 0.015, 85, 63, 61, 110
17, 0.016, 84, 63, 61, 110
18, 0.017, 84, 63, 61, 110
19, 0.018, 84, 63, 61, 110
20, 0.019, 84, 62, 61, 110
21, 0.02, 84, 62, 61, 110
22, 0.021, 84, 62, 61, 110
23, 0.022, 84, 62, 61, 110
24, 0.023, 84, 62, 61, 110
25, 0.024, 84, 63, 61, 110
26, 0.025, 84, 63, 61, 110
27, 0.026, 84, 63, 61, 110
28, 0.027, 84, 63, 61, 110
29, 0.028, 84, 63, 61, 110
30, 0.029, 84, 63, 61, 110
31, 0.03, 85, 63, 61, 110
32, 0.031, 85, 63, 61, 110
33, 0.032, 85, 63, 61, 110
34, 0.033, 85, 63, 61, 110
35, 0.034, 85, 63, 61, 110
36, 0.035, 85, 63, 61, 110
37, 0.036, 84, 63, 61, 110
38, 0.037, 84, 63, 61, 110
39, 0.038, 84, 63, 61, 109
40, 0.039, 84, 62, 61, 109
41, 0.04, 84, 62, 61, 109
42, 0.041, 83, 62, 60, 108
43, 0.042, 83, 62, 60, 108
44, 0.043, 84, 62, 60, 109
45, 0.044, 83, 62, 60, 108
46, 0.045, 83, 62, 60, 108
47, 0.046, 83, 62, 60, 108
48, 0.047, 83, 62, 60, 108
49, 0.048, 83, 62, 60, 108
50, 0.049, 83, 62, 60, 108
51, 0.05, 83, 62, 60, 108
52, 0.051, 83, 62, 60, 108
53, 0.052, 83, 62, 60, 108
54, 0.053, 83, 62, 60, 108
55, 0.054, 83, 62, 60, 108
56, 0.055, 84, 62, 60, 108
57, 0.056, 84, 62, 60, 108
58, 0.057, 83, 62, 60, 108
59, 0.058, 83, 62, 60, 108
60, 0.059, 83, 62, 60, 108
61, 0.06, 83, 62, 60, 108
62, 0.061, 83, 62, 60, 108
63, 0.062, 83, 62, 60, 108
64, 0.063, 83, 62, 60, 108
65, 0.064, 83, 62, 60, 108
66, 0.065, 83, 62, 60, 108
67, 0.066, 82, 61, 59, 106
68, 0.067, 82, 61, 59, 106
69, 0.068, 82, 61, 59, 106
70, 0.069, 82, 61, 59, 106
71, 0.07, 81, 60, 59, 105
72, 0.071, 81, 60, 59, 106
73, 0.072, 82, 61, 59, 106
74, 0.073, 82, 60, 59, 106
75, 0.074, 81, 60, 59, 105
76, 0.075, 81, 60, 58, 105
77, 0.076, 80, 60, 58, 104
78, 0.077, 79, 59, 57, 103
79, 0.078, 78, 58, 56, 102
80, 0.079, 77, 57, 55, 100
81, 0.08, 73, 55, 53, 96
82, 0.081, 70, 52, 51, 92
83, 0.082, 66, 49, 48, 88
84, 0.083, 62, 46, 45, 83
85, 0.084, 58, 43, 42, 78
86, 0.085, 54, 41, 39, 74
87, 0.086, 50, 38, 36, 70
88, 0.087, 46, 35, 34, 65
89, 0.088, 46, 35, 33, 64
90, 0.089, 46, 35, 33, 64
91, 0.09, 46, 35, 33, 64
92, 0.091, 46, 35, 33, 64
93, 0.092, 46, 35, 33, 64
94, 0.093, 45, 34, 32, 63
95, 0.094, 45, 34, 33, 63
96, 0.095, 45, 34, 33, 64
97, 0.096, 46, 35, 33, 64
98, 0.097, 46, 35, 33, 64
99, 0.098, 46, 35, 33, 65
100, 0.099, 46, 35, 33, 65
