1, 3429, 497,
2, 3444, 3481,
3, 3441, 3469,
4, 3439, 3463,
5, 3438, 3460,
6, 3441, 3460,
7, 3444, 3459,
8, 3444, 3458,
9, 3446, 3459,
10, 3450, 3459,
11, 3449, 3458,
12, 3455, 3461,
13, 3459, 3463,
14, 3461, 3464,
15, 3463, 3466,
16, 3467, 3467,
17, 3467, 3467,
18, 3473, 3469,
19, 3475, 3471,
20, 3478, 3472,
21, 3480, 3473,
22, 3484, 3476,
23, 3489, 3479,
24, 3491, 3479,
25, 3493, 3480,
26, 3497, 3482,
27, 3497, 3482,
28, 3503, 3485,
29, 3508, 3488,
30, 3509, 3488,
31, 3512, 3490,
32, 3515, 3492,
33, 3517, 3492,
34, 3521, 3496,
35, 3525, 3498,
36, 3527, 3499,
37, 3529, 3500,
38, 3533, 3501,
39, 3539, 3504,
40, 3539, 3505,
41, 3542, 3506,
42, 3545, 3508,
43, 3546, 3509,
44, 3551, 3512,
45, 3556, 3514,
46, 3558, 3515,
47, 3560, 3517,
48, 3564, 3519,
49, 3565, 3519,
50, 3570, 3521,
51, 3575, 3523,
52, 3576, 3524,
53, 3582, 3527,
54, 3586, 3531,
55, 3589, 3531,
56, 3591, 3532,
57, 3595, 3533,
58, 3595, 3534,
59, 3601, 3537,
60, 3606, 3540,
61, 3607, 3541,
62, 3609, 3541,
63, 3613, 3544,
64, 3619, 3548,
65, 3620, 3547,
66, 3623, 3548,
67, 3625, 3550,
68, 3627, 3552,
69, 3632, 3555,
70, 3637, 3558,
71, 3638, 3557,
72, 3642, 3560,
73, 3644, 3560,
74, 3646, 3561,
75, 3650, 3562,
76, 3655, 3565,
77, 3656, 3566,
78, 3658, 3567,
79, 3663, 3570,
80, 3668, 3574,
81, 3669, 3573,
82, 3672, 3576,
83, 3675, 3576,
84, 3677, 3579,
85, 3682, 3580,
86, 3682, 3580,
87, 3688, 3583,
88, 3691, 3586,
89, 3694, 3587,
90, 3696, 3589,
91, 3700, 3591,
92, 3701, 3590,
93, 3706, 3593,
94, 3711, 3596,
95, 3712, 3597,
96, 3717, 3599,
97, 3719, 3600,
98, 3720, 3600,
99, 3725, 3604,
100, 3730, 3606,
101, 3732, 3607,
102, 3737, 3609,
103, 3741, 3613,
104, 3743, 3615,
105, 3747, 3615,
106, 3750, 3616,
107, 3750, 3616,
108, 3756, 3620,
109, 3760, 3622,
110, 3761, 3624,
111, 3765, 3626,
112, 3768, 3627,
113, 3770, 3628,
114, 3774, 3629,
115, 3774, 3631,
116, 3781, 3634,
117, 3785, 3636,
118, 3787, 3637,
119, 3789, 3638,
120, 3793, 3641,
121, 3793, 3641,
122, 3799, 3643,
123, 3804, 3646,
124, 3805, 3646,
125, 3808, 3647,
126, 3811, 3650,
127, 3812, 3650,
128, 3817, 3654,
129, 3822, 3657,
130, 3824, 3656,
131, 3826, 3659,
132, 3830, 3661,
133, 3837, 3664,
134, 3836, 3664,
135, 3840, 3667,
136, 3842, 3667,
137, 3844, 3668,
138, 3848, 3670,
139, 3854, 3674,
140, 3854, 3675,
141, 3857, 3675,
142, 3861, 3678,
143, 3862, 3678,
144, 3867, 3680,
145, 3873, 3684,
146, 3873, 3685,
147, 3876, 3687,
148, 3880, 3688,
149, 3880, 3688,
150, 3885, 3691,
151, 3892, 3694,
152, 3893, 3695,
153, 3898, 3699,
154, 3904, 3701,
155, 3905, 3701,
156, 3905, 3703,
157, 3911, 3705,
158, 3915, 3707,
159, 3917, 3708,
160, 3920, 3710,
161, 3923, 3711,
162, 3924, 3712,
163, 3929, 3714,
164, 3934, 3718,
165, 3935, 3720,
166, 3937, 3720,
167, 3942, 3721,
168, 3947, 3724,
169, 3948, 3726,
170, 3952, 3728,
171, 3954, 3729,
172, 3955, 3730,
173, 3960, 3732,
174, 3960, 3733,
175, 3966, 3736,
176, 3972, 3739,
177, 3973, 3739,
178, 3976, 3741,
179, 3979, 3743,
180, 3981, 3743,
181, 3985, 3747,
182, 3991, 3748,
183, 3991, 3750,
184, 3994, 3751,
185, 3998, 3753,
186, 4000, 3753,
187, 4004, 3756,
188, 4010, 3759,
189, 4011, 3759,
190, 4014, 3763,
191, 4016, 3763,
192, 4019, 3765,
193, 4023, 3767,
194, 4024, 3767,
195, 4028, 3771,
196, 4035, 3773,
197, 4035, 3774,
198, 4039, 3776,
199, 4041, 3778,
200, 4043, 3778,
201, 4052, 3782,
202, 4054, 3783,
203, 4056, 3784,
204, 4060, 3786,
205, 4066, 3790,
206, 4067, 3791,
207, 4070, 3792,
208, 4073, 3793,
209, 4075, 3794,
210, 4079, 3797,
211, 4079, 3797,
212, 4085, 3800,
213, 4090, 3803,
214, 4091, 3804,
215, 4094, 3806,
216, 4097, 3808,
217, 4099, 3807,
218, 4104, 3811,
219, 4110, 3814,
220, 4110, 3814,
221, 4115, 3816,
222, 4116, 3817,
223, 4119, 3820,
224, 4123, 3820,
225, 4124, 3822,
226, 4129, 3823,
227, 4133, 3826,
228, 4135, 3827,
229, 4139, 3829,
230, 4141, 3831,
231, 4143, 3831,
232, 4148, 3834,
233, 4148, 3835,
234, 4154, 3838,
235, 4159, 3840,
236, 4160, 3840,
237, 4163, 3843,
238, 4167, 3845,
239, 4167, 3845,
240, 4173, 3848,
241, 4177, 3851,
242, 4179, 3852,
243, 4181, 3852,
244, 4185, 3854,
245, 4190, 3858,
246, 4192, 3857,
247, 4193, 3859,
248, 4197, 3861,
249, 4203, 3864,
250, 4204, 3865,
251, 4208, 3866,
252, 4216, 3872,
253, 4217, 3872,
254, 4221, 3874,
