control_value,R,G,B,W
0.089,7642,6463,4687,18630
0.09,7642,6469,4696,18645
0.091,7641,6474,4703,18658
0.092,7640,6476,4707,18663
0.093,7640,6483,4717,18681
0.094,7639,6484,4719,18682
0.095,7639,6484,4720,18684
0.096,7639,6492,4731,18704
0.097,7638,6497,4738,18716
0.098,7639,6499,4743,18723
0.099,7638,6500,4743,18724
0.1,7636,6509,4758,18748
0.101,7637,6515,4766,18762
0.102,7636,6520,4774,18777
0.103,7635,6522,4777,18782
0.104,7636,6524,4780,18786
0.105,7635,6530,4789,18802
0.106,7634,6536,4798,18817
0.107,7634,6538,4801,18822
0.108,7634,6543,4807,18833
0.109,7634,6546,4813,18842
0.11,7634,6548,4816,18847
0.111,7633,6554,4825,18864
0.112,7632,6561,4835,18880
0.113,7632,6561,4836,18882
0.114,7632,6566,4842,18892
0.115,7630,6568,4847,18900
0.116,7631,6569,4848,18902
0.117,7630,6576,4859,18920
0.118,7630,6582,4868,18935
0.119,7629,6585,4871,18941
0.12,7629,6588,4876,18950
0.121,7628,6592,4883,18960
0.122,7629,6594,4885,18964
0.123,7627,6600,4894,18979
0.124,7627,6607,4905,18999
0.125,7627,6608,4906,19000
0.126,7626,6611,4911,19008
0.127,7627,6616,4918,19021
0.128,7626,6615,4918,19020
0.129,7626,6624,4930,19042
0.13,7626,6629,4938,19056
0.131,7625,6631,4942,19061
0.132,7625,6635,4947,19070
0.133,7624,6639,4953,19081
0.134,7623,6646,4964,19099
0.135,7623,6647,4965,19100
0.136,7623,6652,4973,19115
0.137,7623,6655,4977,19121
0.138,7623,6657,4980,19127
0.139,7622,6663,4989,19142
0.14,7621,6666,4994,19150
0.141,7622,6671,5001,19162
0.142,7621,6671,5001,19163
0.143,7620,6677,5012,19180
0.144,7620,6684,5022,19197
0.145,7620,6686,5024,19203
0.146,7620,6691,5031,19214
0.147,7620,6694,5036,19223
0.148,7620,6697,5040,19230
0.149,7619,6703,5048,19243
0.15,7618,6709,5058,19261
0.151,7619,6712,5063,19269
0.152,7617,6718,5071,19283
0.153,7617,6717,5071,19282
0.154,7617,6726,5083,19303
0.155,7616,6731,5092,19317
0.156,7616,6733,5095,19322
0.157,7617,6737,5100,19332
0.158,7616,6742,5108,19345
0.159,7617,6743,5108,19347
0.16,7615,6749,5118,19362
0.161,7614,6755,5129,19380
0.162,7614,6757,5130,19384
0.163,7614,6760,5135,19393
0.164,7613,6765,5142,19404
0.165,7614,6765,5142,19404
0.166,7613,6773,5154,19424
0.167,7612,6778,5163,19438
0.168,7612,6780,5166,19443
0.169,7611,6782,5169,19449
0.17,7611,6788,5177,19463
0.171,7611,6789,5178,19465
0.172,7611,6796,5189,19484
0.173,7610,6803,5200,19502
0.174,7610,6804,5201,19504
0.175,7610,6807,5206,19513
0.176,7610,6813,5214,19526
0.177,7610,6814,5216,19530
0.178,7609,6820,5226,19545
0.179,7609,6828,5237,19566
0.18,7610,6830,5239,19570
0.181,7609,6832,5243,19576
0.182,7608,6836,5249,19587
0.183,7608,6838,5251,19591
0.184,7607,6844,5261,19607
0.185,7607,6850,5270,19624
0.186,7607,6852,5273,19628
0.187,7607,6855,5277,19636
0.188,7606,6860,5285,19649
0.189,7605,6868,5296,19668
0.19,7606,6868,5297,19669
0.191,7605,6873,5304,19681
0.192,7605,6876,5308,19688
0.193,7604,6879,5314,19697
0.194,7604,6884,5320,19708
0.195,7604,6884,5321,19711
0.196,7605,6893,5333,19733
0.197,7603,6896,5340,19741
0.198,7603,6900,5344,19750
0.199,7603,6901,5346,19753
0.2,7602,6912,5362,19781
0.201,7602,6916,5368,19790
0.202,7601,6917,5369,19793
0.203,7601,6924,5380,19811
0.204,7601,6928,5386,19822
0.205,7600,6932,5391,19831
0.206,7600,6934,5395,19837
0.207,7600,6940,5403,19851
0.208,7599,6947,5413,19869
0.209,7600,6948,5415,19873
0.21,7599,6952,5422,19884
0.211,7599,6956,5427,19893
0.212,7598,6958,5431,19899
0.213,7598,6964,5439,19913
0.214,7598,6971,5450,19932
0.215,7597,6971,5451,19933
0.216,7597,6976,5457,19944
0.217,7596,6979,5462,19952
0.218,7597,6980,5464,19956
0.219,7596,6987,5474,19973
0.22,7595,6993,5484,19989
0.221,7595,6995,5486,19991
0.222,7596,6999,5492,20005
0.223,7595,7003,5498,20013
0.224,7594,7005,5501,20018
0.225,7594,7011,5510,20034
0.226,7593,7010,5509,20033
0.227,7593,7019,5522,20053
0.228,7593,7022,5527,20062
0.229,7592,7026,5533,20073
0.23,7593,7027,5534,20076
0.231,7592,7034,5545,20094
0.232,7591,7040,5554,20109
0.233,7591,7042,5557,20114
0.234,7590,7046,5563,20124
0.235,7589,7049,5568,20132
0.236,7590,7051,5570,20137
0.237,7590,7058,5581,20154
0.238,7588,7064,5590,20169
0.239,7588,7065,5592,20172
0.24,7588,7068,5597,20181
0.241,7588,7073,5604,20193
0.242,7588,7081,5616,20215
0.243,7587,7081,5616,20214
0.244,7587,7086,5623,20225
0.245,7587,7090,5628,20235
0.246,7587,7092,5632,20242
0.247,7585,7096,5639,20252
0.248,7586,7097,5640,20254
0.249,7585,7105,5651,20274
0.25,7584,7110,5659,20286
0.251,7584,7120,5674,20313
0.252,7584,7120,5674,20314
0.253,7583,7125,5682,20326
0.254,7583,7128,5687,20335
0.255,7583,7130,5689,20339
0.256,7581,7135,5698,20352
0.257,7581,7142,5707,20369
0.258,7581,7143,5709,20372
0.259,7581,7146,5713,20379
0.26,7581,7151,5721,20393
0.261,7581,7159,5732,20413
0.262,7580,7159,5733,20414
0.263,7579,7163,5740,20425
0.264,7579,7167,5745,20434
0.265,7579,7169,5748,20439
0.266,7578,7175,5757,20454
0.267,7577,7182,5768,20473
0.268,7578,7183,5769,20475
0.269,7577,7188,5777,20487
0.27,7577,7191,5781,20495
0.271,7577,7193,5784,20501
0.272,7576,7199,5793,20514
0.273,7576,7207,5804,20535
0.274,7578,7209,5806,20541
0.275,7575,7212,5813,20549
0.276,7575,7215,5816,20555
0.277,7574,7217,5820,20561
0.278,7574,7222,5828,20575
0.279,7575,7223,5829,20578
0.28,7573,7229,5839,20593
0.281,7573,7234,5845,20605
0.282,7573,7238,5851,20615
0.283,7573,7240,5854,20619
0.284,7573,7246,5863,20637
0.285,7571,7252,5873,20652
0.286,7572,7254,5875,20656
0.287,7572,7259,5883,20670
0.288,7570,7261,5886,20673
0.289,7571,7262,5889,20679
0.29,7569,7269,5899,20695
0.291,7569,7276,5910,20714
0.292,7570,7277,5911,20716
0.293,7569,7282,5918,20729
0.294,7568,7284,5922,20735
0.295,7569,7288,5927,20745
0.296,7568,7293,5934,20757
0.297,7567,7300,5945,20775
0.298,7568,7301,5946,20777
0.299,7566,7304,5952,20785
0.3,7565,7316,5969,20815
0.301,7566,7317,5970,20817
0.302,7565,7319,5975,20825
0.303,7565,7325,5982,20838
0.304,7565,7324,5982,20836
0.305,7564,7332,5993,20857
0.306,7563,7337,6000,20869
0.307,7563,7340,6006,20878
0.308,7563,7341,6007,20880
0.309,7562,7348,6017,20897
0.31,7561,7354,6027,20913
0.311,7562,7355,6029,20917
0.312,7560,7360,6036,20928
0.313,7561,7364,6041,20938
0.314,7561,7364,6043,20942
0.315,7559,7370,6052,20955
0.316,7559,7378,6063,20975
0.317,7559,7378,6064,20976
0.318,7558,7383,6071,20988
0.319,7558,7386,6075,20996
0.32,7559,7389,6079,21003
0.321,7557,7394,6088,21017
0.322,7557,7402,6100,21038
0.323,7556,7402,6100,21036
0.324,7555,7405,6106,21045
0.325,7555,7410,6111,21056
0.326,7555,7412,6115,21062
0.327,7553,7416,6123,21073
0.328,7554,7424,6133,21093
0.329,7554,7426,6136,21097
0.33,7553,7428,6140,21104
0.331,7552,7433,6146,21115
0.332,7552,7434,6148,21118
0.333,7551,7440,6158,21133
0.334,7551,7448,6169,21154
0.335,7551,7448,6170,21155
0.336,7555,7456,6180,21177
0.337,7551,7456,6182,21177
0.338,7551,7460,6187,21186
0.339,7550,7465,6194,21198
0.34,7551,7466,6197,21201
0.341,7551,7473,6207,21220
0.342,7549,7479,6216,21234
0.343,7548,7479,6217,21235
0.344,7548,7484,6224,21248
0.345,7548,7489,6231,21260
0.346,7549,7491,6234,21267
0.347,7546,7496,6242,21277
0.348,7547,7497,6243,21280
0.349,7547,7504,6254,21300
0.35,7546,7509,6262,21312
0.351,7545,7519,6276,21335
0.352,7545,7520,6278,21340
0.353,7544,7523,6285,21349
0.354,7544,7527,6289,21358
0.355,7544,7531,6294,21368
0.356,7543,7535,6302,21379
0.357,7543,7537,6303,21382
0.358,7542,7543,6313,21398
0.359,7542,7549,6321,21412
0.36,7542,7551,6325,21418
0.361,7542,7555,6331,21429
0.362,7541,7559,6337,21438
0.363,7541,7561,6340,21445
0.364,7539,7566,6348,21456
0.365,7539,7574,6361,21478
0.366,7540,7575,6361,21481
0.367,7539,7579,6367,21491
0.368,7539,7583,6373,21500
0.369,7539,7585,6375,21505
0.37,7538,7590,6384,21521
0.371,7537,7595,6392,21532
0.372,7537,7598,6396,21540
0.373,7537,7602,6401,21549
0.374,7536,7606,6408,21559
0.375,7536,7607,6410,21563
0.376,7535,7613,6420,21579
0.377,7534,7619,6428,21593
0.378,7535,7622,6432,21602
0.379,7535,7624,6434,21606
0.38,7534,7629,6443,21619
0.381,7533,7634,6451,21631
0.382,7533,7638,6456,21641
0.383,7533,7640,6459,21647
0.384,7532,7645,6467,21659
0.385,7532,7653,6478,21680
0.386,7532,7654,6480,21683
0.387,7531,7657,6485,21692
0.388,7531,7661,6492,21701
0.389,7531,7667,6501,21719
0.39,7531,7670,6504,21725
0.391,7530,7673,6509,21732
0.392,7529,7677,6516,21743
0.393,7529,7677,6515,21742
0.394,7529,7685,6527,21762
0.395,7528,7691,6536,21778
0.396,7527,7693,6538,21783
0.397,7527,7695,6543,21789
0.398,7526,7700,6550,21800
0.399,7527,7701,6552,21804
0.4,7526,7711,6567,21830
0.401,7525,7716,6574,21843
0.402,7524,7723,6586,21861
0.403,7525,7724,6586,21861
0.404,7523,7729,6594,21875
0.405,7524,7731,6597,21880
0.406,7523,7735,6602,21890
0.407,7523,7739,6608,21900
0.408,7524,7741,6611,21906
0.409,7522,7747,6621,21921
0.41,7522,7753,6629,21937
0.411,7522,7755,6633,21943
0.412,7521,7758,6638,21951
0.413,7521,7763,6645,21963
0.414,7520,7771,6656,21981
0.415,7520,7771,6657,21982
0.416,7519,7775,6664,21994
0.417,7519,7780,6669,22004
0.418,7519,7781,6671,22007
0.419,7518,7787,6681,22022
0.42,7518,7794,6692,22042
0.421,7518,7795,6693,22045
0.422,7517,7797,6696,22048
0.423,7517,7803,6705,22064
0.424,7517,7803,6705,22065
0.425,7516,7810,6716,22083
0.426,7515,7815,6723,22095
0.427,7515,7819,6729,22104
0.428,7515,7818,6728,22103
0.429,7515,7826,6739,22123
0.43,7514,7831,6747,22135
0.431,7513,7833,6751,22141
0.432,7514,7836,6756,22149
0.433,7513,7842,6764,22162
0.434,7512,7849,6775,22181
0.435,7513,7850,6776,22185
0.436,7512,7852,6780,22190
0.437,7511,7857,6787,22202
0.438,7511,7864,6798,22221
0.439,7511,7865,6799,22223
0.44,7511,7868,6803,22229
0.441,7509,7872,6811,22241
0.442,7509,7880,6822,22261
0.443,7509,7881,6823,22264
0.444,7509,7886,6830,22276
0.445,7508,7889,6835,22284
0.446,7508,7892,6839,22292
0.447,7507,7896,6847,22303
0.448,7506,7903,6858,22322
0.449,7507,7904,6859,22324
0.45,7506,7910,6868,22340
0.451,7506,7913,6872,22347
0.452,7505,7920,6882,22363
0.453,7505,7926,6892,22379
0.454,7505,7928,6894,22384
0.455,7504,7932,6900,22394
0.456,7504,7936,6906,22404
0.457,7504,7939,6910,22411
0.458,7503,7944,6918,22424
0.459,7503,7943,6917,22423
0.46,7503,7951,6928,22443
0.461,7501,7955,6936,22455
0.462,7500,7956,6938,22456
0.463,7502,7959,6941,22465
0.464,7501,7966,6952,22483
0.465,7500,7973,6963,22501
0.466,7500,7975,6966,22505
0.467,7500,7979,6971,22515
0.468,7499,7983,6977,22525
0.469,7500,7983,6990,22527
0.47,7500,7993,6991,22550
0.471,7498,7997,6999,22562
0.472,7496,7997,7000,22562
0.473,7497,8003,7008,22577
0.474,7496,8006,7013,22584
0.475,7496,8008,7015,22589
0.476,7495,8014,7025,22605
0.477,7495,8021,7036,22623
0.478,7496,8022,7037,22626
0.479,7494,8025,7042,22633
0.48,7494,8031,7050,22648
0.481,7494,8033,7053,22652
0.482,7493,8038,7061,22666
0.483,7492,8045,7072,22684
0.484,7492,8047,7074,22688
0.485,7491,8048,7076,22691
0.486,7491,8054,7085,22707
0.487,7492,8064,7099,22732
0.488,7490,8062,7098,22727
0.489,7490,8066,7105,22739
0.49,7489,8069,7109,22746
0.491,7489,8072,7113,22753
0.492,7489,8077,7121,22767
0.493,7489,8078,7122,22770
0.494,7488,8085,7133,22786
0.495,7487,8090,7140,22799
0.496,7487,8093,7145,22808
0.497,7488,8095,7147,22813
0.498,7486,8100,7156,22826
0.499,7485,8108,7167,22844
0.5,7485,8114,7177,22861
0.501,7475,8134,7211,22910
0.502,7471,8138,7220,22921
0.503,7467,8144,7231,22934
0.504,7463,8147,7238,22941
0.505,7461,8149,7242,22946
0.506,7461,8149,7242,22947
0.507,7455,8153,7252,22956
0.508,7452,8157,7260,22966
0.509,7450,8159,7264,22970
0.51,7448,8160,7266,22972
0.511,7444,8164,7275,22983
0.512,7444,8165,7275,22984
0.513,7439,8170,7286,22997
0.514,7435,8173,7292,23003
0.515,7434,8176,7297,23011
0.516,7432,8177,7302,23015
0.517,7428,8180,7308,23020
0.518,7428,8180,7308,23021
0.519,7423,8186,7320,23035
0.52,7419,8189,7326,23042
0.521,7418,8191,7330,23047
0.522,7416,8194,7335,23053
0.523,7412,8196,7341,23058
0.524,7407,8201,7352,23071
0.525,7407,8201,7352,23072
0.526,7404,8204,7358,23078
0.527,7401,8206,7363,23083
0.528,7400,8207,7364,23084
0.529,7396,8212,7374,23095
0.53,7391,8216,7384,23106
0.531,7391,8217,7385,23108
0.532,7388,8220,7390,23116
0.533,7384,8221,7395,23120
0.534,7383,8222,7397,23120
0.535,7379,8227,7406,23132
0.536,7373,8231,7417,23142
0.537,7374,8232,7418,23144
0.538,7373,8237,7426,23157
0.539,7369,8238,7430,23160
0.54,7367,8238,7431,23160
0.541,7362,8242,7439,23169
0.542,7358,8247,7449,23181
0.543,7357,8247,7450,23182
0.544,7355,8251,7457,23191
0.545,7351,8252,7461,23192
0.546,7351,8254,7463,23196
0.547,7346,8257,7472,23206
0.548,7340,8262,7482,23215
0.549,7341,8263,7483,23218
0.55,7337,8267,7490,23227
0.551,7336,8269,7495,23234
0.552,7330,8273,7505,23243
0.553,7326,8278,7513,23254
0.554,7325,8279,7516,23257
0.555,7322,8282,7522,23263
0.556,7319,8284,7527,23268
0.557,7319,8284,7528,23268
0.558,7314,8289,7538,23280
0.559,7309,8293,7547,23291
0.56,7308,8295,7549,23293
0.561,7305,8297,7554,23298
0.562,7302,8299,7560,23305
0.563,7302,8301,7562,23309
0.564,7297,8304,7571,23318
0.565,7294,8308,7579,23326
0.566,7292,8309,7582,23329
0.567,7289,8312,7586,23335
0.568,7286,8315,7592,23341
0.569,7285,8315,7595,23344
0.57,7280,8319,7603,23353
0.571,7277,8323,7610,23361
0.572,7275,8325,7614,23366
0.573,7273,8327,7619,23371
0.574,7270,8330,7625,23378
0.575,7269,8331,7627,23380
0.576,7264,8335,7636,23390
0.577,7259,8340,7646,23401
0.578,7259,8341,7647,23403
0.579,7255,8344,7654,23411
0.58,7253,8345,7657,23414
0.581,7251,8348,7663,23422
0.582,7248,8351,7668,23427
0.583,7242,8356,7679,23440
0.584,7242,8356,7679,23440
0.585,7239,8358,7684,23444
0.586,7236,8361,7690,23451
0.587,7236,8362,7693,23455
0.588,7231,8365,7701,23463
0.589,7225,8370,7711,23474
0.59,7226,8371,7712,23476
0.591,7222,8374,7719,23483
0.592,7220,8376,7723,23488
0.593,7217,8378,7728,23493
0.594,7214,8380,7733,23498
0.595,7213,8382,7736,23501
0.596,7209,8386,7744,23511
0.597,7203,8390,7754,23520
0.598,7203,8391,7755,23523
0.599,7200,8394,7760,23529
0.6,7193,8401,7775,23545
0.601,7192,8401,7776,23546
0.602,7189,8403,7781,23551
0.603,7186,8406,7787,23558
0.604,7186,8406,7788,23559
0.605,7180,8411,7798,23569
0.606,7177,8414,7805,23577
0.607,7176,8416,7809,23583
0.608,7173,8418,7813,23587
0.609,7170,8421,7819,23593
0.61,7170,8421,7820,23594
0.611,7165,8426,7830,23605
0.612,7160,8429,7838,23613
0.613,7159,8431,7841,23617
0.614,7156,8433,7847,23623
0.615,7152,8435,7851,23627
0.616,7152,8437,7853,23631
0.617,7148,8441,7863,23643
0.618,7143,8445,7871,23651
0.619,7142,8445,7872,23652
0.62,7139,8447,7877,23657
0.621,7136,8450,7883,23662
0.622,7136,8451,7884,23665
0.623,7131,8455,7894,23675
0.624,7126,8459,7902,23684
0.625,7126,8461,7905,23688
0.626,7122,8464,7911,23695
0.627,7120,8466,7916,23699
0.628,7119,8467,7918,23702
0.629,7115,8471,7927,23712
0.63,7109,8475,7936,23722
0.631,7109,8475,7937,23723
0.632,7106,8478,7942,23729
0.633,7103,8480,7947,23734
0.634,7098,8485,7957,23745
0.635,7098,8486,7959,23748
0.636,7097,8489,7965,23756
0.637,7093,8492,7971,23762
0.638,7087,8495,7978,23768
0.639,7086,8496,7980,23770
0.64,7082,8497,7986,23775
0.641,7081,8500,7990,23780
0.642,7079,8501,7993,23784
0.643,7075,8504,8000,23790
0.644,7070,8509,8011,23803
0.645,7070,8510,8011,23805
0.646,7066,8513,8019,23812
0.647,7065,8515,8022,23816
0.648,7062,8517,8027,23822
0.649,7059,8520,8033,23828
0.65,7059,8520,8034,23831
0.651,7051,8527,8049,23846
0.652,7048,8529,8053,23850
0.653,7047,8531,8057,23855
0.654,7042,8534,8065,23862
0.655,7037,8538,8072,23869
0.656,7036,8539,8075,23873
0.657,7034,8540,8078,23876
0.658,7030,8543,8085,23883
0.659,7025,8547,8095,23894
0.66,7025,8548,8096,23896
0.661,7022,8551,8101,23902
0.662,7019,8553,8106,23906
0.663,7019,8553,8107,23909
0.664,7014,8558,8117,23919
0.665,7010,8562,8126,23928
0.666,7008,8563,8128,23931
0.667,7006,8566,8133,23937
0.668,7002,8568,8138,23941
0.669,7001,8569,8141,23944
0.67,6997,8572,8149,23953
0.671,6997,8577,8159,23954
0.672,6991,8577,8159,23964
0.673,6987,8581,8168,23974
0.674,6987,8584,8172,23982
0.675,6983,8584,8175,23982
0.676,6981,8587,8180,23988
0.677,6980,8589,8184,23994
0.678,6975,8592,8191,24000
0.679,6970,8598,8202,24013
0.68,6970,8598,8203,24014
0.681,6967,8599,8205,24015
0.682,6964,8602,8212,24024
0.683,6959,8607,8223,24035
0.684,6960,8609,8224,24039
0.685,6954,8611,8230,24043
0.686,6953,8612,8234,24046
0.687,6950,8613,8237,24050
0.688,6947,8616,8243,24057
0.689,6947,8617,8244,24058
0.69,6941,8620,8253,24067
0.691,6937,8624,8262,24076
0.692,6936,8626,8264,24078
0.693,6935,8626,8266,24080
0.694,6930,8630,8275,24090
0.695,6927,8633,8280,24096
0.696,6925,8635,8285,24101
0.697,6923,8637,8289,24106
0.698,6919,8640,8296,24113
0.699,6919,8640,8297,24113
0.7,6914,8645,8306,24124
0.701,6909,8649,8315,24135
0.702,6908,8649,8317,24136
0.703,6903,8655,8329,24151
0.704,6898,8657,8335,24155
0.705,6897,8659,8338,24159
0.706,6895,8661,8341,24163
0.707,6891,8664,8348,24169
0.708,6891,8664,8349,24170
0.709,6886,8669,8358,24181
0.71,6881,8673,8368,24191
0.711,6880,8673,8370,24192
0.712,6877,8675,8373,24195
0.713,6874,8678,8379,24202
0.714,6870,8682,8388,24213
0.715,6869,8683,8390,24216
0.716,6866,8685,8396,24221
0.717,6863,8687,8400,24224
0.718,6862,8689,8404,24228
0.719,6858,8692,8411,24236
0.72,6853,8697,8421,24248
0.721,6852,8697,8422,24249
0.722,6850,8699,8426,24253
0.723,6846,8701,8431,24257
0.724,6845,8703,8434,24259
0.725,6841,8705,8441,24267
0.726,6836,8710,8451,24279
0.727,6835,8711,8452,24280
0.728,6832,8713,8457,24285
0.729,6829,8715,8462,24290
0.73,6829,8716,8463,24291
0.731,6824,8720,8473,24303
0.732,6819,8723,8479,24308
0.733,6818,8724,8483,24312
0.734,6815,8728,8489,24321
0.735,6812,8729,8493,24323
0.736,6813,8733,8499,24334
0.737,6807,8734,8503,24335
0.738,6802,8738,8512,24345
0.739,6801,8740,8515,24349
0.74,6798,8740,8519,24351
0.741,6796,8744,8525,24359
0.742,6796,8745,8526,24361
0.743,6790,8749,8535,24369
0.744,6786,8752,8542,24376
0.745,6785,8753,8545,24381
0.746,6782,8755,8549,24384
0.747,6779,8757,8555,24390
0.748,6779,8759,8557,24393
0.749,6773,8762,8566,24402
0.75,6769,8767,8575,24413
0.751,6766,8768,8580,24418
0.752,6762,8771,8585,24422
0.753,6762,8771,8586,24423
0.754,6756,8776,8596,24433
0.755,6752,8779,8605,24443
0.756,6751,8781,8608,24447
0.757,6748,8783,8613,24452
0.758,6745,8785,8616,24456
0.759,6744,8785,8618,24458
0.76,6739,8789,8626,24465
0.761,6734,8794,8637,24475
0.762,6734,8794,8638,24478
0.763,6731,8796,8642,24481
0.764,6728,8798,8648,24488
0.765,6727,8800,8650,24491
0.766,6722,8803,8658,24498
0.767,6723,8804,8659,24500
0.768,6717,8808,8668,24509
0.769,6713,8811,8675,24517
0.77,6711,8813,8678,24521
0.771,6709,8814,8682,24525
0.772,6705,8816,8688,24530
0.773,6704,8816,8689,24531
0.774,6700,8821,8698,24541
0.775,6694,8825,8707,24548
0.776,6694,8826,8709,24551
0.777,6691,8829,8716,24559
0.778,6689,8831,8719,24563
0.779,6685,8831,8723,24565
0.78,6682,8834,8729,24572
0.781,6681,8835,8730,24573
0.782,6676,8839,8739,24583
0.783,6673,8842,8746,24590
0.784,6671,8843,8749,24593
0.785,6669,8845,8752,24597
0.786,6665,8848,8759,24603
0.787,6660,8852,8769,24614
0.788,6660,8853,8769,24615
0.789,6655,8855,8777,24621
0.79,6654,8857,8779,24623
0.791,6654,8859,8783,24630
0.792,6648,8860,8789,24632
0.793,6644,8866,8798,24644
0.794,6643,8866,8800,24645
0.795,6639,8868,8806,24650
0.796,6637,8870,8810,24656
0.797,6635,8871,8813,24658
0.798,6631,8875,8820,24666
0.799,6626,8878,8828,24673
0.8,6625,8880,8832,24679
0.801,6619,8883,8840,24686
0.802,6616,8887,8847,24695
0.803,6614,8888,8851,24698
0.804,6611,8889,8854,24700
0.805,6608,8893,8860,24708
0.806,6603,8897,8869,24717
0.807,6604,8899,8873,24724
0.808,6599,8900,8877,24725
0.809,6597,8901,8880,24728
0.81,6596,8903,8885,24734
0.811,6591,8906,8891,24739
0.812,6590,8906,8892,24740
0.813,6585,8911,8901,24750
0.814,6580,8914,8909,24758
0.815,6580,8916,8912,24762
0.816,6576,8917,8917,24766
0.817,6574,8919,8921,24771
0.818,6573,8920,8923,24771
0.819,6568,8924,8930,24780
0.82,6564,8928,8939,24790
0.821,6563,8929,8942,24792
0.822,6560,8930,8946,24796
0.823,6557,8933,8952,24803
0.824,6555,8934,8955,24806
0.825,6551,8937,8961,24812
0.826,6546,8940,8969,24820
0.827,6545,8941,8971,24822
0.828,6542,8943,8976,24827
0.829,6540,8947,8982,24835
0.83,6534,8951,8993,24846
0.831,6534,8951,8993,24846
0.832,6531,8954,8998,24850
0.833,6529,8956,9003,24855
0.834,6528,8956,9005,24857
0.835,6523,8960,9012,24865
0.836,6519,8964,9021,24876
0.837,6517,8964,9023,24878
0.838,6514,8966,9027,24880
0.839,6511,8968,9032,24885
0.84,6510,8970,9035,24890
0.841,6505,8973,9043,24896
0.842,6500,8977,9052,24907
0.843,6500,8978,9053,24908
0.844,6497,8979,9058,24912
0.845,6495,8982,9063,24919
0.846,6493,8984,9066,24921
0.847,6489,8987,9073,24929
0.848,6484,8991,9083,24940
0.849,6484,8992,9084,24941
0.85,6480,8994,9091,24949
0.851,6477,8996,9095,24951
0.852,6472,8998,9102,24957
0.853,6465,9001,9109,24961
0.854,6464,9002,9112,24964
0.855,6463,9007,9120,24976
0.856,6460,9008,9123,24979
0.857,6459,9009,9125,24981
0.858,6455,9013,9133,24990
0.859,6451,9017,9142,25001
0.86,6449,9017,9143,24999
0.861,6447,9018,9144,25000
0.862,6442,9021,9152,25008
0.863,6438,9025,9161,25017
0.864,6437,9026,9163,25021
0.865,6436,9028,9167,25026
0.866,6430,9028,9171,25026
0.867,6430,9029,9173,25028
0.868,6426,9034,9183,25040
0.869,6421,9037,9191,25048
0.87,6420,9039,9193,25050
0.871,6416,9040,9198,25053
0.872,6414,9042,9201,25057
0.873,6412,9043,9204,25060
0.874,6408,9046,9212,25068
0.875,6408,9047,9212,25069
0.876,6402,9051,9221,25078
0.877,6398,9053,9228,25083
0.878,6396,9054,9231,25086
0.879,6395,9055,9233,25089
0.88,6390,9058,9241,25095
0.881,6390,9058,9251,25095
0.882,6384,9063,9251,25106
0.883,6381,9065,9256,25112
0.884,6378,9067,9261,25117
0.885,6378,9068,9262,25118
0.886,6373,9071,9270,25125
0.887,6368,9076,9280,25136
0.888,6367,9075,9280,25136
0.889,6363,9077,9285,25140
0.89,6361,9079,9290,25144
0.891,6361,9083,9295,25154
0.892,6355,9083,9299,25153
0.893,6350,9087,9308,25163
0.894,6350,9088,9310,25165
0.895,6347,9089,9313,25168
0.896,6343,9091,9319,25173
0.897,6344,9092,9319,25173
0.898,6338,9095,9328,25182
0.899,6334,9099,9336,25191
0.9,6332,9101,9339,25193
0.901,6329,9102,9343,25196
0.902,6321,9108,9357,25213
0.903,6321,9109,9358,25214
0.904,6317,9112,9365,25220
0.905,6315,9113,9368,25224
0.906,6313,9115,9372,25228
0.907,6309,9117,9379,25234
0.908,6309,9118,9379,25235
0.909,6304,9122,9388,25244
0.91,6302,9123,9391,25248
0.911,6298,9125,9398,25253
0.912,6294,9128,9404,25260
0.913,6291,9129,9407,25260
0.914,6289,9131,9411,25265
0.915,6286,9134,9418,25273
0.916,6286,9134,9417,25272
0.917,6280,9138,9426,25281
0.918,6277,9140,9432,25286
0.919,6274,9141,9435,25289
0.92,6272,9143,9438,25292
0.921,6268,9145,9445,25296
0.922,6268,9146,9445,25298
0.923,6262,9150,9456,25308
0.924,6257,9153,9463,25316
0.925,6257,9154,9466,25319
0.926,6254,9155,9468,25321
0.927,6250,9159,9475,25327
0.928,6245,9162,9484,25338
0.929,6245,9162,9485,25338
0.93,6241,9165,9492,25344
0.931,6239,9166,9494,25345
0.932,6237,9167,9497,25348
0.933,6233,9171,9504,25357
0.934,6228,9174,9513,25365
0.935,6227,9174,9513,25364
0.936,6226,9176,9518,25370
0.937,6221,9178,9523,25374
0.938,6221,9179,9524,25374
0.939,6216,9183,9533,25384
0.94,6212,9185,9540,25390
0.941,6210,9187,9543,25394
0.942,6208,9189,9547,25398
0.943,6204,9190,9552,25402
0.944,6204,9192,9554,25405
0.945,6198,9195,9562,25413
0.946,6194,9200,9572,25426
0.947,6192,9199,9572,25421
0.948,6189,9201,9578,25428
0.949,6187,9203,9581,25432
0.95,6184,9204,9584,25434
0.951,6176,9210,9598,25448
0.952,6175,9211,9600,25450
0.953,6173,9212,9603,25453
0.954,6169,9215,9610,25459
0.955,6169,9216,9612,25463
0.956,6163,9218,9619,25467
0.957,6158,9223,9628,25478
0.958,6157,9224,9630,25479
0.959,6155,9226,9634,25483
0.96,6152,9228,9639,25489
0.961,6151,9229,9642,25491
0.962,6146,9231,9649,25497
