control_value,R,G,B,W
0.228,1307,1013,864,3073
0.229,1307,1014,864,3075
0.23,1307,1014,865,3075
0.231,1306,1015,866,3077
0.232,1306,1016,868,3080
0.233,1306,1016,868,3080
0.234,1306,1017,869,3082
0.235,1306,1017,870,3083
0.236,1306,1017,870,3084
0.237,1306,1018,871,3086
0.238,1306,1019,873,3089
0.239,1306,1019,873,3089
0.24,1306,1020,874,3091
0.241,1306,1020,875,3092
0.242,1306,1020,875,3092
0.243,1305,1021,877,3095
0.244,1305,1022,878,3096
0.245,1305,1022,878,3097
0.246,1305,1023,879,3099
0.247,1305,1023,880,3100
0.248,1304,1024,882,3103
0.249,1305,1024,882,3103
0.25,1305,1025,883,3105
0.251,1304,1027,885,3109
0.252,1304,1027,885,3109
0.253,1304,1027,886,3110
0.254,1304,1028,887,3112
0.255,1304,1029,889,3115
0.256,1304,1029,889,3115
0.257,1304,1030,890,3117
0.258,1304,1030,890,3118
0.259,1304,1030,891,3119
0.26,1303,1031,892,3120
0.261,1303,1031,892,3121
0.262,1303,1032,894,3123
0.263,1303,1033,895,3125
0.264,1303,1033,896,3126
0.265,1303,1034,896,3127
0.266,1303,1034,897,3129
0.267,1303,1035,898,3130
0.268,1303,1036,899,3132
0.269,1303,1036,900,3134
0.27,1303,1037,901,3135
0.271,1303,1037,902,3137
0.272,1302,1038,903,3138
0.273,1302,1038,903,3138
0.274,1302,1039,904,3140
0.275,1302,1040,906,3143
0.276,1302,1040,906,3143
0.277,1302,1041,907,3145
0.278,1302,1041,908,3146
0.279,1302,1041,908,3147
0.28,1302,1042,910,3149
0.281,1302,1042,910,3149
0.282,1302,1043,911,3152
0.283,1301,1044,913,3155
0.284,1301,1044,913,3155
0.285,1301,1045,914,3156
0.286,1301,1045,915,3158
0.287,1301,1046,915,3158
0.288,1301,1046,917,3161
0.289,1301,1047,918,3163
0.29,1301,1048,918,3164
0.291,1300,1048,919,3165
0.292,1301,1049,920,3167
0.293,1301,1049,921,3167
0.294,1300,1050,922,3169
0.295,1300,1051,924,3172
0.296,1300,1051,923,3172
0.297,1300,1051,925,3174
0.298,1300,1052,925,3175
0.299,1300,1052,926,3176
0.3,1300,1053,928,3179
0.301,1299,1054,929,3180
0.302,1299,1055,930,3183
0.303,1299,1055,930,3184
0.304,1299,1056,931,3185
0.305,1299,1056,932,3186
0.306,1299,1056,933,3187
0.307,1299,1057,934,3189
0.308,1299,1058,936,3192
0.309,1299,1058,936,3192
0.31,1299,1059,937,3194
0.311,1299,1060,938,3195
0.312,1299,1060,938,3196
0.313,1298,1061,939,3198
0.314,1298,1062,941,3198
0.315,1298,1062,941,3201
0.316,1298,1063,942,3203
0.317,1298,1063,943,3204
0.318,1298,1063,944,3205
0.319,1298,1064,944,3207
0.32,1298,1064,945,3207
0.321,1298,1065,946,3210
0.322,1298,1066,948,3212
0.323,1298,1066,948,3213
0.324,1297,1067,949,3214
0.325,1297,1067,950,3216
0.326,1297,1068,950,3216
0.327,1297,1068,952,3218
0.328,1297,1069,953,3221
0.329,1297,1070,953,3221
0.33,1297,1070,954,3223
0.331,1297,1071,955,3224
0.332,1297,1072,957,3227
0.333,1297,1072,957,3227
0.334,1296,1072,958,3229
0.335,1296,1073,959,3230
0.336,1296,1074,960,3233
0.337,1296,1074,960,3233
0.338,1296,1075,961,3235
0.339,1296,1075,962,3236
0.34,1296,1075,962,3237
0.341,1296,1076,964,3239
0.342,1296,1077,965,3242
0.343,1296,1077,966,3242
0.344,1296,1078,967,3244
0.345,1296,1078,967,3245
0.346,1295,1079,968,3246
0.347,1295,1079,969,3247
0.348,1295,1080,969,3248
0.349,1295,1081,971,3250
0.35,1295,1082,972,3253
0.351,1295,1082,973,3254
0.352,1295,1083,974,3256
0.353,1295,1084,976,3259
0.354,1295,1084,976,3259
0.355,1294,1084,977,3261
0.356,1295,1085,978,3262
0.357,1295,1085,978,3263
0.358,1294,1086,980,3265
0.359,1294,1087,981,3268
0.36,1294,1087,981,3268
0.361,1294,1088,982,3269
0.362,1294,1088,983,3271
0.363,1294,1089,984,3272
0.364,1294,1089,985,3274
0.365,1294,1090,986,3276
0.366,1294,1091,987,3277
0.367,1293,1091,987,3278
0.368,1293,1092,988,3279
0.369,1293,1092,989,3280
0.37,1293,1093,990,3283
0.371,1293,1094,992,3285
0.372,1293,1094,992,3286
0.373,1293,1094,993,3287
0.374,1293,1095,994,3288
0.375,1293,1095,994,3289
0.376,1293,1096,996,3291
0.377,1293,1096,996,3292
0.378,1293,1097,997,3294
0.379,1293,1097,998,3295
0.38,1292,1098,999,3297
0.381,1292,1099,1001,3300
0.382,1292,1099,1001,3300
0.383,1292,1100,1002,3302
0.384,1292,1100,1002,3302
0.385,1292,1101,1003,3304
0.386,1292,1102,1004,3306
0.387,1292,1102,1006,3308
0.388,1291,1103,1006,3308
0.389,1291,1103,1007,3310
0.39,1291,1104,1008,3311
0.391,1291,1104,1008,3312
0.392,1291,1105,1009,3314
0.393,1291,1105,1011,3314
0.394,1291,1106,1011,3317
0.395,1291,1107,1012,3319
0.396,1291,1107,1013,3320
0.397,1291,1108,1014,3321
0.398,1290,1108,1015,3322
0.399,1290,1108,1015,3323
0.4,1290,1110,1017,3327
0.401,1290,1110,1018,3329
0.402,1290,1111,1019,3329
0.403,1290,1111,1020,3331
0.404,1290,1111,1020,3331
0.405,1290,1112,1022,3334
0.406,1289,1113,1023,3336
0.407,1290,1113,1023,3337
0.408,1289,1114,1024,3338
0.409,1289,1115,1025,3340
0.41,1289,1115,1026,3341
0.411,1289,1116,1027,3342
0.412,1289,1116,1027,3343
0.413,1289,1117,1028,3345
0.414,1289,1118,1030,3348
0.415,1289,1118,1030,3348
0.416,1289,1118,1031,3350
0.417,1288,1119,1032,3351
0.418,1288,1119,1033,3352
0.419,1288,1120,1034,3355
0.42,1288,1121,1036,3357
0.421,1288,1121,1036,3357
0.422,1288,1122,1037,3359
0.423,1288,1122,1037,3360
0.424,1288,1123,1038,3361
0.425,1288,1123,1039,3363
0.426,1287,1124,1041,3366
0.427,1287,1124,1041,3366
0.428,1287,1125,1042,3368
0.429,1287,1126,1043,3369
0.43,1287,1126,1043,3370
0.431,1287,1127,1044,3371
0.432,1287,1127,1044,3372
0.433,1287,1128,1046,3374
0.434,1287,1129,1048,3377
0.435,1287,1129,1048,3378
0.436,1287,1129,1049,3379
0.437,1287,1130,1050,3380
0.438,1287,1130,1050,3381
0.439,1286,1131,1051,3383
0.44,1286,1132,1053,3385
0.441,1286,1132,1053,3386
0.442,1286,1132,1053,3386
0.443,1286,1133,1055,3388
0.444,1286,1134,1056,3391
0.445,1286,1134,1056,3391
0.446,1286,1135,1057,3393
0.447,1285,1135,1058,3394
0.448,1285,1136,1059,3395
0.449,1285,1136,1060,3397
0.45,1285,1136,1060,3397
0.451,1285,1138,1062,3401
0.452,1285,1138,1063,3403
0.453,1285,1139,1064,3403
0.454,1285,1140,1065,3406
0.455,1284,1141,1067,3408
0.456,1284,1141,1067,3409
0.457,1284,1141,1068,3410
0.458,1284,1142,1069,3411
0.459,1284,1142,1069,3412
0.46,1284,1143,1070,3414
0.461,1284,1143,1071,3414
0.462,1284,1144,1072,3417
0.463,1284,1145,1074,3419
0.464,1284,1145,1074,3420
0.465,1283,1146,1075,3421
0.466,1283,1146,1076,3423
0.467,1283,1146,1076,3424
0.468,1283,1147,1077,3425
0.469,1283,1147,1077,3426
0.47,1283,1148,1079,3428
